<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.09	4190.93	4221.13	4169.98	4208.13	120317	0	30
2025.12.10	4209.68	4238.55	4181.90	4228.40	116966	0	28
2025.12.11	4228.67	4285.84	4204.23	4279.65	118433	0	30
2025.12.12	4281.72	4353.35	4257.71	4300.29	124981	0	30
2025.12.15	4300.21	4350.17	4285.33	4305.01	121250	0	30
2025.12.16	4305.91	4334.89	4271.67	4302.28	122735	0	30
2025.12.17	4302.67	4348.76	4301.50	4338.22	124276	0	30
2025.12.18	4339.96	4374.41	4308.69	4332.60	121135	0	30
2025.12.19	4333.96	4356.45	4309.18	4338.51	107909	0	30
2025.12.22	4339.74	4448.97	4337.94	4443.62	107972	0	30
2025.12.23	4447.45	4499.73	4430.58	4484.57	117588	0	30
2025.12.24	4487.25	4525.66	4448.31	4480.53	103299	0	30
2025.12.26	4495.17	4549.86	4469.38	4531.87	124356	0	26
2025.12.29	4539.30	4549.55	4303.02	4331.84	138727	0	32
2025.12.30	4333.38	4404.18	4323.60	4338.55	130334	0	36
2025.12.31	4340.50	4373.20	4274.24	4313.14	126162	0	32
2026.01.02	4325.40	4402.17	4309.89	4332.89	120797	0	36
2026.01.05	4353.81	4455.58	4344.94	4448.86	130729	0	32
2026.01.06	4449.14	4497.20	4427.89	4494.62	124721	0	32
2026.01.07	4495.38	4500.42	4423.44	4456.33	126083	0	32
2026.01.08	4455.78	4479.38	4407.74	4477.34	128421	0	32
2026.01.09	4479.71	4517.01	4452.80	4509.81	117021	0	32
2026.01.12	4520.67	4630.09	4513.13	4597.31	131129	0	32
2026.01.13	4596.41	4634.57	4569.80	4586.42	126067	0	32
2026.01.14	4589.40	4642.71	4587.49	4626.35	133243	0	32
2026.01.15	4630.20	4632.51	4581.04	4615.76	133800	0	32
2026.01.16	4618.68	4620.55	4536.74	4595.46	123236	0	32
2026.01.19	4629.18	4690.36	4619.61	4670.68	93243	0	32
2026.01.20	4671.98	4766.17	4659.47	4763.36	123666	0	32
2026.01.21	4762.12	4888.25	4755.88	4831.05	139494	0	37
2026.01.22	4835.16	4940.55	4772.34	4936.21	129091	0	37
2026.01.23	4939.08	4989.69	4899.76	4986.07	126712	0	37
2026.01.26	5012.68	5110.94	4990.04	5008.04	154954	0	37
2026.01.27	5013.71	5190.25	5012.77	5181.10	153646	0	37
2026.01.28	5179.76	5418.96	5157.21	5417.39	158245	0	37
2026.01.29	5420.49	5596.58	5101.72	5370.52	171415	0	40
2026.01.30	5388.79	5450.97	4692.11	4883.85	169254	0	40
2026.02.02	4779.68	4884.44	4403.25	4660.83	176828	0	59
2026.02.03	4673.23	4993.61	4666.32	4946.81	162623	0	40
2026.02.04	4945.42	5091.67	4851.72	4964.76	146884	0	40
2026.02.05	4975.58	5023.56	4759.64	4779.40	162463	0	40
2026.02.06	4786.88	4971.14	4655.08	4964.08	138926	0	40
2026.02.09	4980.95	5086.26	4965.03	5058.26	131143	0	40
2026.02.10	5059.18	5078.45	4987.85	5025.29	124397	0	40
2026.02.11	5026.04	5119.17	5019.64	5084.42	118947	0	40
2026.02.12	5084.94	5099.73	4878.56	4921.73	119021	0	40
2026.02.13	4923.60	5045.95	4887.04	5043.08	120925	0	40
2026.02.16	5036.98	5050.56	4966.34	4993.31	79420	0	40
2026.02.17	4994.97	5000.33	4843.12	4877.34	116569	0	40
2026.02.18	4869.14	5010.89	4854.05	4977.31	96108	0	38
2026.02.19	4978.14	5022.02	4960.70	4996.06	94450	0	39
2026.02.20	4999.02	5106.88	4981.64	5103.62	101124	0	39
2026.02.23	5106.92	5237.50	5098.86	5227.35	115052	0	32
2026.02.24	5227.28	5249.61	5094.16	5143.67	119219	0	38
2026.02.25	5142.64	5217.34	5122.68	5164.75	112123	0	38
2026.02.26	5164.69	5205.11	5130.50	5184.97	115805	0	32
2026.02.27	5184.92	5281.05	5166.75	5280.29	113705	0	37
2026.03.02	5315.99	5418.90	5260.64	5321.81	143318	0	37
2026.03.03	5331.13	5379.65	4996.85	5088.17	150906	0	49
2026.03.04	5109.46	5206.01	5084.62	5141.09	138614	0	41
2026.03.05	5150.22	5194.79	5051.10	5080.83	132597	0	39
2026.03.06	5084.03	5174.34	5062.72	5171.24	127392	0	39
2026.03.09	5190.98	5191.87	5014.96	5136.56	144304	0	39
2026.03.10	5148.85	5238.46	5117.33	5192.62	129573	0	39
2026.03.11	5190.03	5222.93	5149.69	5175.77	115117	0	41
2026.03.12	5182.11	5191.43	5055.10	5078.82	123356	0	41
2026.03.13	5075.61	5128.30	5009.43	5021.46	123574	0	41
2026.03.16	5011.61	5037.59	4967.82	5006.06	132688	0	41
2026.03.17	5010.67	5044.31	4973.43	5005.39	112829	0	39
2026.03.18	5005.32	5016.12	4806.75	4818.56	123457	0	35
2026.03.19	4829.49	4866.96	4502.22	4650.20	151341	0	35
2026.03.20	4658.65	4735.65	4477.35	4497.38	150377	0	43
2026.03.23	4488.23	4536.11	4098.94	4406.34	175381	0	43
2026.03.24	4417.85	4483.96	4305.97	4473.98	167950	0	43
2026.03.25	4476.46	4602.13	4455.75	4506.30	147416	0	43
2026.03.26	4517.74	4543.77	4351.11	4378.21	152870	0	38
2026.03.27	4385.15	4554.98	4375.56	4495.17	135385	0	38
2026.03.30	4486.22	4580.41	4419.56	4510.86	145366	0	38
2026.03.31	4514.61	4686.88	4482.61	4666.84	145940	0	38
2026.04.01	4681.54	4792.97	4661.84	4758.04	135710	0	38
2026.04.02	4758.57	4800.43	4553.61	4675.95	146170	0	38
2026.04.06	4633.17	4706.29	4600.80	4650.34	121851	0	38
2026.04.07	4658.63	4718.46	4607.48	4705.35	130835	0	35
2026.04.08	4747.10	4854.40	4699.85	4719.11	128182	0	35
2026.04.09	4728.41	4800.91	4698.78	4765.37	113203	0	35
2026.04.10	4776.09	4794.85	4730.72	4748.48	105844	0	35
2026.04.13	4670.07	4749.86	4644.33	4740.03	106907	0	35
2026.04.14	4751.74	4846.29	4745.56	4841.70	99209	0	35
2026.04.15	4840.22	4871.36	4786.22	4790.54	104720	0	35
2026.04.16	4797.20	4837.99	4772.95	4790.54	100020	0	35
2026.04.17	4794.57	4889.39	4767.46	4833.86	100408	0	35
2026.04.20	4764.24	4827.55	4736.88	4820.47	113209	0	35
2026.04.21	4824.41	4832.78	4668.36	4719.89	118141	0	35
2026.04.22	4722.15	4771.88	4715.41	4739.96	106131	0	35
2026.04.23	4745.49	4753.63	4664.15	4694.02	125331	0	35
2026.04.24	4699.15	4740.06	4657.62	4707.98	118241	0	35
2026.04.27	4692.80	4729.82	4667.00	4681.61	109477	0	35
2026.04.28	4684.00	4701.03	4554.77	4596.93	118406	0	35
2026.04.29	4599.85	4609.90	4510.05	4543.32	119839	0	35
2026.04.30	4544.16	4646.78	4539.15	4621.72	120425	0	35
2026.05.01	4628.34	4659.96	4560.18	4616.26	104290	0	35
2026.05.04	4620.28	4629.11	4500.60	4523.61	116938	0	35
2026.05.05	4523.33	4586.36	4513.40	4557.46	99079	0	35
2026.05.06	4558.34	4722.92	4546.32	4690.91	118970	0	35
2026.05.07	4696.68	4764.51	4685.13	4686.97	121336	0	35
2026.05.08	4687.00	4749.14	4681.54	4715.20	113402	0	35
2026.05.11	4697.68	4748.52	4647.91	4734.73	114075	0	35
2026.05.12	4740.28	4773.32	4638.50	4715.09	117624	0	35
2026.05.13	4715.04	4726.27	4669.25	4688.63	111822	0	35
2026.05.14	4692.85	4718.35	4644.23	4652.13	113546	0	35
2026.05.15	4649.58	4665.04	4511.58	4538.16	131211	0	35
2026.05.18	4531.77	4583.98	4480.40	4565.95	131283	0	35
2026.05.19	4569.08	4589.06	4464.84	4481.81	119388	0	35
2026.05.20	4481.62	4552.31	4453.46	4543.53	121414	0	35
